Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/15/2019,AQS,420030002,1,8.2,ug/m3 LC,34,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
5/18/2019,AQS,420030002,1,11.8,ug/m3 LC,49,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
5/21/2019,AQS,420030002,1,3,ug/m3 LC,13,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
5/27/2019,AQS,420030002,1,6.5,ug/m3 LC,27,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
6/2/2019,AQS,420030002,1,11.8,ug/m3 LC,49,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
6/8/2019,AQS,420030002,1,10.3,ug/m3 LC,43,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
6/14/2019,AQS,420030002,1,5,ug/m3 LC,21,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
6/20/2019,AQS,420030002,1,6.7,ug/m3 LC,28,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
6/26/2019,AQS,420030002,1,11.1,ug/m3 LC,46,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
7/2/2019,AQS,420030002,1,13,ug/m3 LC,53,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
7/8/2019,AQS,420030002,1,12.5,ug/m3 LC,52,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
7/14/2019,AQS,420030002,1,9.9,ug/m3 LC,41,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
7/20/2019,AQS,420030002,1,16,ug/m3 LC,59,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
7/26/2019,AQS,420030002,1,12.5,ug/m3 LC,52,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
8/1/2019,AQS,420030002,1,11.1,ug/m3 LC,46,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
8/7/2019,AQS,420030002,1,10.8,ug/m3 LC,45,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
8/13/2019,AQS,420030002,1,10.3,ug/m3 LC,43,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
8/19/2019,AQS,420030002,1,6.7,ug/m3 LC,28,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
8/25/2019,AQS,420030002,1,5.8,ug/m3 LC,24,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
8/31/2019,AQS,420030002,1,7.1,ug/m3 LC,30,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
9/12/2019,AQS,420030002,1,10.3,ug/m3 LC,43,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
9/18/2019,AQS,420030002,1,4.8,ug/m3 LC,20,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
9/24/2019,AQS,420030002,1,6,ug/m3 LC,25,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
9/30/2019,AQS,420030002,1,10.8,ug/m3 LC,45,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
10/6/2019,AQS,420030002,1,8.9,ug/m3 LC,37,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
10/12/2019,AQS,420030002,1,6,ug/m3 LC,25,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
10/18/2019,AQS,420030002,1,6.2,ug/m3 LC,26,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
10/24/2019,AQS,420030002,1,6.3,ug/m3 LC,26,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
10/30/2019,AQS,420030002,1,10.7,ug/m3 LC,45,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
11/5/2019,AQS,420030002,1,9.7,ug/m3 LC,40,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
11/11/2019,AQS,420030002,1,12.9,ug/m3 LC,53,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
11/17/2019,AQS,420030002,1,3.8,ug/m3 LC,16,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
11/23/2019,AQS,420030002,1,7,ug/m3 LC,29,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
11/29/2019,AQS,420030002,1,5.5,ug/m3 LC,23,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
12/5/2019,AQS,420030002,1,6.8,ug/m3 LC,28,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
12/11/2019,AQS,420030002,1,10.4,ug/m3 LC,43,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
12/17/2019,AQS,420030002,1,6.2,ug/m3 LC,26,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
12/23/2019,AQS,420030002,1,19.1,ug/m3 LC,66,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/1/2019,AQS,420030002,2,5,ug/m3 LC,21,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
